# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
1.570999999999999914e-03 4.179159588899999653e+04 6.000000000000000000e+00
2.220999999999999884e-03 6.169709190700000181e+04 1.200000000000000000e+01
2.720999999999999894e-03 9.495031637400000182e+04 8.000000000000000000e+00
3.141999999999999828e-03 5.834701484099999652e+04 6.000000000000000000e+00
3.511999999999999931e-03 8.268604641199999605e+04 2.400000000000000000e+01
3.847999999999999858e-03 1.299605409420000069e+05 2.400000000000000000e+01
4.442999999999999901e-03 1.252755782139999937e+05 1.200000000000000000e+01
4.826000000000000428e-03 1.058380933389999991e+05 5.400000000000000000e+01
5.268000000000000113e-03 1.220083741310000041e+05 3.200000000000000000e+01
5.806000000000000397e-03 1.320924405280000065e+05 7.200000000000000000e+01
6.454999999999999800e-03 1.029937046620000037e+05 5.400000000000000000e+01
6.956999999999999643e-03 1.301733749519999983e+05 1.320000000000000000e+02
7.655999999999999611e-03 1.252321559100000013e+05 7.800000000000000000e+01
8.220999999999999142e-03 1.135643605559999996e+05 1.760000000000000000e+02
9.011999999999999178e-03 9.351668269099999452e+04 2.040000000000000000e+02
9.870000000000000301e-03 8.349326990699999442e+04 2.940000000000000000e+02
1.076799999999999979e-02 6.149789839799999754e+04 3.140000000000000000e+02
1.164600000000000010e-02 5.204933967000000121e+04 4.320000000000000000e+02
1.271599999999999987e-02 6.772784916199999861e+04 5.820000000000000000e+02
1.386199999999999932e-02 6.789450048600000446e+04 7.220000000000000000e+02
1.507000000000000006e-02 6.676491745599999558e+04 9.300000000000000000e+02
1.642899999999999916e-02 6.249077850700000272e+04 1.280000000000000000e+03
1.796899999999999886e-02 6.516091896200000338e+04 1.674000000000000000e+03
1.960200000000000137e-02 6.847606742599999416e+04 2.048000000000000000e+03
2.137700000000000017e-02 6.390301514699999825e+04 2.810000000000000000e+03
2.332499999999999851e-02 6.142833029399999941e+04 3.534000000000000000e+03
2.545400000000000093e-02 5.187630830699999933e+04 4.682000000000000000e+03
2.776700000000000002e-02 4.696661425700000109e+04 5.948000000000000000e+03
3.029099999999999848e-02 4.759738526699999784e+04 7.904000000000000000e+03
3.303899999999999892e-02 4.560194746599999780e+04 1.001000000000000000e+04
3.604399999999999965e-02 4.436300753100000293e+04 1.330400000000000000e+04
3.934399999999999703e-02 4.030686907800000336e+04 1.714600000000000000e+04
4.294100000000000000e-02 3.666420630800000072e+04 2.246000000000000000e+04
4.681300000000000044e-02 3.457318441500000336e+04 2.821400000000000000e+04
5.104600000000000110e-02 3.181692848500000036e+04 3.770800000000000000e+04
5.570599999999999857e-02 3.055335911100000158e+04 4.855000000000000000e+04
6.074600000000000138e-02 2.870552284900000086e+04 6.253600000000000000e+04
6.625000000000000333e-02 2.726160690700000123e+04 8.174200000000000000e+04
7.227799999999999503e-02 2.475671377199999915e+04 1.062640000000000000e+05
7.883800000000000530e-02 2.220762738900000113e+04 1.371780000000000000e+05
8.599999999999999312e-02 1.953061577200000102e+04 1.791340000000000000e+05
9.381000000000000449e-02 1.712555791300000055e+04 2.311740000000000000e+05
1.023109999999999992e-01 1.498431179700000030e+04 3.002780000000000000e+05
1.116059999999999969e-01 1.307658095200000025e+04 3.909780000000000000e+05
1.217430000000000040e-01 1.233503666300000077e+04 5.060720000000000000e+05
1.327959999999999974e-01 1.080568569100000059e+04 6.578360000000000000e+05
1.448589999999999878e-01 9.517071568999999727e+03 8.534680000000000000e+05
1.580110000000000126e-01 8.138505882000000383e+03 1.107340000000000000e+06
1.723550000000000082e-01 7.145214622999999847e+03 1.436940000000000000e+06
1.880010000000000014e-01 6.438584280000000035e+03 1.864956000000000000e+06
2.050720000000000043e-01 5.568959380000000237e+03 2.421576000000000000e+06
2.236910000000000009e-01 4.795919359000000441e+03 3.141224000000000000e+06
2.439969999999999917e-01 4.209574346999999761e+03 4.077262000000000000e+06
2.661479999999999957e-01 3.541282994000000144e+03 5.291842000000000000e+06
2.903129999999999877e-01 3.065260850000000119e+03 6.868784000000000000e+06
3.166660000000000030e-01 2.651399769000000106e+03 8.910236000000000000e+06
3.454110000000000236e-01 2.248627966000000015e+03 1.156777000000000000e+07
3.767719999999999958e-01 1.896378314999999930e+03 1.501447200000000000e+07
1.570999999999999914e-03 -5.490665964600000007e+04 6.000000000000000000e+00
2.220999999999999884e-03 -1.700762977400000091e+04 1.200000000000000000e+01
2.720999999999999894e-03 5.770316422600000078e+04 8.000000000000000000e+00
3.141999999999999828e-03 1.778816983500000060e+04 6.000000000000000000e+00
3.511999999999999931e-03 1.534635225999999966e+04 2.400000000000000000e+01
3.847999999999999858e-03 5.951247602300000290e+04 2.400000000000000000e+01
4.442999999999999901e-03 -2.261203472699999838e+04 1.200000000000000000e+01
4.826000000000000428e-03 2.902337991200000033e+04 5.400000000000000000e+01
5.268000000000000113e-03 3.689691241399999853e+04 3.200000000000000000e+01
5.806000000000000397e-03 -6.178176405000000159e+03 7.200000000000000000e+01
6.454999999999999800e-03 4.369100004900000204e+04 5.400000000000000000e+01
6.956999999999999643e-03 -5.409508354999999938e+03 1.320000000000000000e+02
7.655999999999999611e-03 3.986786426400000346e+04 7.800000000000000000e+01
8.220999999999999142e-03 2.222013505399999849e+04 1.760000000000000000e+02
9.011999999999999178e-03 2.547087588200000027e+04 2.040000000000000000e+02
9.870000000000000301e-03 3.014367977400000018e+04 2.940000000000000000e+02
1.076799999999999979e-02 4.256442928599999868e+04 3.140000000000000000e+02
1.164600000000000010e-02 1.523178132499999992e+04 4.320000000000000000e+02
1.271599999999999987e-02 9.665542770000000019e+03 5.820000000000000000e+02
1.386199999999999932e-02 -6.642611657000000378e+03 7.220000000000000000e+02
1.507000000000000006e-02 -5.475872177999999622e+03 9.300000000000000000e+02
1.642899999999999916e-02 1.301919943199999943e+04 1.280000000000000000e+03
1.796899999999999886e-02 1.813575164299999960e+04 1.674000000000000000e+03
1.960200000000000137e-02 2.684156524799999897e+04 2.048000000000000000e+03
2.137700000000000017e-02 3.168925389200000063e+04 2.810000000000000000e+03
2.332499999999999851e-02 3.210978440499999851e+04 3.534000000000000000e+03
2.545400000000000093e-02 3.133285648999999830e+04 4.682000000000000000e+03
2.776700000000000002e-02 2.540500766999999905e+04 5.948000000000000000e+03
