# kvec, P0, P2
2.500000000000000052e-03 1.035260102857080346e+04 8.216814743579270726e+03
7.499999999999999722e-03 1.603050748585889050e+04 1.269746636133547327e+04
1.250000000000000069e-02 1.911561799383811376e+04 1.509441533549604719e+04
1.750000000000000167e-02 1.963990115047505242e+04 1.544847652237180773e+04
2.249999999999999917e-02 1.858365965923823023e+04 1.454711834348720549e+04
2.750000000000000014e-02 1.673427981235952029e+04 1.302993288123826642e+04
3.250000000000000111e-02 1.470960516579773321e+04 1.139209468475739413e+04
3.749999999999999861e-02 1.285819559659568949e+04 9.901951338388613294e+03
4.250000000000000305e-02 1.134902127877390922e+04 8.688436682758723691e+03
4.750000000000000056e-02 1.022120334714300952e+04 7.777416981982659308e+03
5.249999999999999806e-02 9.401142639460562350e+03 7.105360653925625229e+03
5.750000000000000250e-02 8.790775051289258045e+03 6.594040007097932175e+03
6.250000000000000000e-02 8.280248354076948090e+03 6.160591656099100874e+03
6.750000000000000444e-02 7.786834044702525716e+03 5.745591242830166266e+03
7.249999999999999500e-02 7.258700111326133083e+03 5.315265005375996225e+03
7.749999999999999944e-02 6.683479932166103936e+03 4.863548551243281509e+03
8.250000000000000389e-02 6.085606253496200225e+03 4.409603349054194950e+03
8.749999999999999445e-02 5.500269880965528500e+03 3.977078340523993120e+03
9.249999999999999889e-02 4.968695969347999380e+03 3.590840613444480823e+03
9.750000000000000333e-02 4.517184686132725801e+03 3.264432901382514046e+03
1.024999999999999939e-01 4.155577932004804097e+03 2.999451732420062399e+03
1.074999999999999983e-01 3.879016155921541213e+03 2.789156070691581590e+03
1.125000000000000028e-01 3.669274533544018595e+03 2.619632220351617889e+03
1.174999999999999933e-01 3.504266013549759919e+03 2.476806932813262847e+03
1.224999999999999978e-01 3.359763747634845458e+03 2.347453467499269664e+03
1.275000000000000022e-01 3.217171319666531872e+03 2.222636849249644456e+03
1.325000000000000067e-01 3.064397844582183097e+03 2.097932093813239590e+03
1.375000000000000111e-01 2.897997789963033028e+03 1.972893778478417062e+03
1.424999999999999878e-01 2.722771037611345037e+03 1.850630786259245269e+03
1.474999999999999922e-01 2.546715552790250513e+03 1.734499140696500490e+03
1.524999999999999967e-01 2.380021569561185061e+03 1.627639545791994351e+03
1.575000000000000011e-01 2.230112547566659487e+03 1.531507388103644871e+03
1.625000000000000056e-01 2.101157965266176689e+03 1.445822378706473501e+03
1.675000000000000100e-01 1.993631207003986447e+03 1.369298157815888771e+03
1.724999999999999867e-01 1.904509371020276149e+03 1.299829089439191875e+03
1.774999999999999911e-01 1.829359197574030077e+03 1.235577846476958939e+03
1.824999999999999956e-01 1.762721276488222429e+03 1.175100780405629621e+03
1.875000000000000000e-01 1.699853442367478692e+03 1.117590743115166561e+03
1.925000000000000044e-01 1.636984254044031331e+03 1.062861844436383535e+03
1.975000000000000089e-01 1.572255227294588167e+03 1.011015446654462266e+03
2.025000000000000133e-01 1.505722424566998370e+03 9.623638414962183560e+02
2.074999999999999900e-01 1.438617024627155388e+03 9.170043690401148524e+02
2.124999999999999944e-01 1.373135382365132500e+03 8.747808894695803019e+02
2.174999999999999989e-01 1.311120801541614355e+03 8.352898352994034212e+02
2.225000000000000033e-01 1.253915449252706367e+03 7.979119527708782016e+02
2.275000000000000078e-01 1.202113715233137100e+03 7.621098866473532780e+02
2.325000000000000122e-01 1.155569254269214298e+03 7.274648262809216703e+02
2.374999999999999889e-01 1.113653056179748091e+03 6.937645016001968088e+02
2.424999999999999933e-01 1.075320763422065284e+03 6.610041683350498261e+02
2.474999999999999978e-01 1.039511439031625287e+03 6.293249883465848598e+02
2.525000000000000022e-01 1.005213318195608394e+03 5.989909003905722784e+02
2.575000000000000067e-01 9.717413630753388816e+02 5.702234303436176788e+02
2.625000000000000111e-01 9.387567902138731597e+02 5.431775259123584192e+02
2.675000000000000155e-01 9.062149686090477871e+02 5.178547241018549130e+02
2.725000000000000200e-01 8.743396560333525258e+02 4.941009218538251275e+02
2.775000000000000244e-01 8.434299827865627321e+02 4.716592949470621079e+02
2.824999999999999734e-01 8.138262246168501406e+02 4.501898693091628161e+02
2.874999999999999778e-01 7.857551417295445617e+02 4.294106898976838238e+02
2.924999999999999822e-01 7.593145441630548476e+02 4.091135659838450351e+02
2.974999999999999867e-01 7.344613907145421763e+02 3.891892060303023300e+02
3.024999999999999911e-01 7.110211317229721999e+02 3.696262146960377208e+02
3.074999999999999956e-01 6.887867158712411992e+02 3.504816579126551801e+02
3.125000000000000000e-01 6.675335119089006639e+02 3.318708626859940409e+02
3.175000000000000044e-01 6.470723038381371452e+02 3.138961215627716683e+02
3.225000000000000089e-01 6.272560510634499451e+02 2.966376821792730993e+02
3.275000000000000133e-01 6.079984853825974369e+02 2.801313554200742146e+02
3.325000000000000178e-01 5.892733454649853684e+02 2.643657021952655555e+02
3.375000000000000222e-01 5.710913350924280394e+02 2.492731828229007647e+02
3.425000000000000266e-01 5.534935404166052422e+02 2.347366457288323431e+02
3.474999999999999756e-01 5.365088292872201237e+02 2.206613876211505385e+02
3.524999999999999800e-01 5.201501481344796503e+02 2.069800223008548699e+02
3.574999999999999845e-01 5.044181237680327285e+02 1.936322645206722655e+02
3.624999999999999889e-01 4.893004933324933177e+02 1.805658215756359937e+02
3.674999999999999933e-01 4.747621964062053053e+02 1.677656809342053918e+02
3.724999999999999978e-01 4.607470250604746980e+02 1.552537770070261729e+02
3.775000000000000022e-01 4.472031753393089275e+02 1.430584220028683831e+02
3.825000000000000067e-01 4.340860697973001265e+02 1.312089311310634514e+02
3.875000000000000111e-01 4.213621475393784976e+02 1.197112331898620283e+02
3.925000000000000155e-01 4.090086839353709820e+02 1.085482053801982119e+02
3.975000000000000200e-01 3.970086818119666532e+02 9.770612700347649593e+01
4.025000000000000244e-01 3.853502223771740773e+02 8.717569082248310508e+01
4.074999999999999734e-01 3.740251177457738549e+02 7.693638425822844340e+01
4.124999999999999778e-01 3.630282877290178476e+02 6.695677641881816555e+01
4.174999999999999822e-01 3.523528844883907141e+02 5.721239230135111598e+01
