# #kvec,       P0,       P2
3.798113219970482464e-03 2.963068388330414746e+04 1.474518761009208174e+04
8.299341198366977368e-03 4.554274699650457478e+04 2.271268641810949339e+04
1.293222785829474530e-02 5.424704604315417237e+04 2.695291514795360854e+04
1.764839540059406214e-02 5.574121583294320590e+04 2.751057770337186230e+04
2.256548624743046766e-02 5.275853275936334103e+04 2.581336599233748711e+04
2.777643631869635560e-02 4.757772030458039808e+04 2.304659857171090698e+04
3.269804945164275084e-02 4.187458995555766160e+04 2.006699010284899123e+04
3.761648412163147437e-02 3.667432044539766503e+04 1.738135898145471583e+04
4.263843590653306620e-02 3.246702184434829178e+04 1.521394439412572137e+04
4.756514397867403487e-02 2.930174921393768454e+04 1.356806402684073510e+04
5.262095846540340571e-02 2.700946764321951196e+04 1.234479494779705601e+04
5.756031579008965421e-02 2.530112790002428665e+04 1.139839004037983977e+04
6.254738086573084777e-02 2.387701921947074879e+04 1.059066944361024798e+04
6.757793245805240878e-02 2.249439659572273376e+04 9.820616988464596943e+03
7.255917271873940644e-02 2.101147327550709451e+04 9.038234690831373882e+03
7.753384095836814149e-02 1.939959723020593810e+04 8.241899123222297931e+03
8.251793095580771398e-02 1.772055267860335880e+04 7.461714255803843116e+03
8.752751585855111927e-02 1.608345459134957855e+04 6.737879685983754825e+03
9.254701595891280663e-02 1.459746688854528475e+04 6.102083665795108573e+03
9.754962816585227570e-02 1.333681167948852453e+04 5.567432369092488443e+03
1.025319577549815842e-01 1.232879488561691869e+04 5.128584007117668079e+03
1.075115963337573005e-01 1.155614343110288064e+04 4.767404497752543648e+03
1.125102824869452928e-01 1.096907623673172748e+04 4.460854503654688415e+03
1.175500815351475242e-01 1.050300606441498167e+04 4.188165964717273710e+03
1.225369407693439466e-01 1.009368558213104188e+04 3.934865646329825722e+03
1.275260915928623784e-01 9.688392965269249544e+03 3.693904371605796314e+03
1.325302049517290137e-01 9.255186217600272357e+03 3.464864466855373394e+03
1.375062658167523766e-01 8.786687407332354269e+03 3.251129477846671762e+03
1.425134383761388901e-01 8.295087036495939174e+03 3.056551779491747311e+03
1.475259185391497030e-01 7.804389102927532804e+03 2.882943304538600387e+03
1.525299392618520433e-01 7.340787637896005435e+03 2.728397263486242991e+03
1.574945641255308670e-01 6.924158621742765717e+03 2.587974847226746533e+03
1.625189271701959481e-01 6.564418993148158734e+03 2.455122740252915719e+03
1.675460952755878086e-01 6.260699176645000989e+03 2.324245846432527287e+03
1.725291960336882702e-01 6.005220305772685606e+03 2.192016899609302982e+03
1.775301907015699177e-01 5.785347207911885562e+03 2.058905940806130729e+03
1.825147596880773992e-01 5.587827416543222171e+03 1.927603526172300008e+03
1.875360659894858006e-01 5.400312904865550081e+03 1.802260175595267128e+03
1.925323612841613463e-01 5.214207710090769069e+03 1.686949049800547755e+03
1.975198597713469506e-01 5.025203321087834411e+03 1.584841305523667643e+03
2.025153626490958647e-01 4.832998888536007144e+03 1.496128468680016340e+03
2.075088432181976528e-01 4.641124814356588104e+03 1.417400971998453997e+03
2.125177993514315022e-01 4.453686992332870432e+03 1.344743204151213376e+03
2.175004105537196308e-01 4.275188348148029945e+03 1.274445380562707669e+03
2.225093097263723396e-01 4.108965484216309051e+03 1.203487719603040887e+03
2.275289518807653566e-01 3.955936478140639338e+03 1.130416512256470924e+03
2.325285335280651011e-01 3.816103080491026049e+03 1.054513432253284691e+03
