# kvec, P0, P2
3.798113219970482464e-03 2.943764031331024307e+04 1.479114842335424328e+04
8.299341198366977368e-03 4.559451678432709014e+04 2.282255784097856304e+04
1.293222785829474530e-02 5.439229303749077371e+04 2.707520435190658463e+04
1.764839540059406214e-02 5.590073393138191750e+04 2.762992865236591024e+04
2.256548624743046766e-02 5.291058402428054251e+04 2.593332674899469203e+04
2.777643631869635560e-02 4.767568139221840829e+04 2.315188803388532324e+04
3.269804945164275084e-02 4.194647902659977262e+04 2.017805985132637579e+04
3.761648412163147437e-02 3.671243033582141652e+04 1.749087261072529509e+04
4.263843590653306620e-02 3.245336780451810773e+04 1.530908876490437251e+04
4.756514397867403487e-02 2.927939111427824537e+04 1.366805109029960477e+04
5.262095846540340571e-02 2.697964948533236020e+04 1.244572136615515774e+04
5.756031579008965421e-02 2.527487566320211408e+04 1.150137629059830033e+04
6.254738086573084777e-02 2.385342174764961965e+04 1.069339038693499424e+04
6.757793245805240878e-02 2.248072269340290586e+04 9.925008607606534497e+03
7.255917271873940644e-02 2.100988518830385874e+04 9.147077224933609614e+03
7.753384095836814149e-02 1.940573920275701312e+04 8.354340243430835471e+03
8.251793095580771398e-02 1.773721471842304163e+04 7.580415064285743938e+03
8.752751585855111927e-02 1.610305339064875443e+04 6.860484999921198323e+03
9.254701595891280663e-02 1.461848179484154753e+04 6.226231422460497924e+03
9.754962816585227570e-02 1.335673997840452648e+04 5.690168361090359213e+03
1.025319577549815842e-01 1.234485461802564532e+04 5.245520631530839637e+03
1.075115963337573005e-01 1.156898869056577496e+04 4.876441486327293205e+03
1.125102824869452928e-01 1.097823135195545365e+04 4.560170137466309825e+03
1.175500815351475242e-01 1.051133446072329207e+04 4.277664465778889280e+03
1.225369407693439466e-01 1.010149554598051873e+04 4.014790933343193501e+03
1.275260915928623784e-01 9.697659307630083276e+03 3.764729602119322408e+03
1.325302049517290137e-01 9.266877712057139433e+03 3.527641799717628146e+03
1.375062658167523766e-01 8.799824188300870446e+03 3.305973201555962078e+03
1.425134383761388901e-01 8.309644594503870394e+03 3.103565999617449961e+03
1.475259185391497030e-01 7.817916449726619248e+03 2.921466621795776973e+03
1.525299392618520433e-01 7.351911072270595469e+03 2.757665997674351274e+03
1.574945641255308670e-01 6.931353926636435972e+03 2.608186994960299671e+03
1.625189271701959481e-01 6.567142214067911482e+03 2.467486186247941987e+03
1.675460952755878086e-01 6.260333286129311091e+03 2.331263723904252402e+03
1.725291960336882702e-01 6.002709554963294977e+03 2.196784693395228715e+03
1.775301907015699177e-01 5.782505793952401291e+03 2.063541923711954496e+03
1.825147596880773992e-01 5.585430911462473887e+03 1.933185520714644554e+03
1.875360659894858006e-01 5.399149251369462036e+03 1.808374474189209650e+03
1.925323612841613463e-01 5.213923598817643324e+03 1.692467461131711616e+03
1.975198597713469506e-01 5.024960284984857935e+03 1.587590626735538990e+03
2.025153626490958647e-01 4.832395838666191594e+03 1.494420586440995748e+03
2.075088432181976528e-01 4.639296325061523021e+03 1.411756981778762565e+03
2.125177993514315022e-01 4.451115652250745370e+03 1.336654615750116136e+03
2.175004105537196308e-01 4.272376281553059016e+03 1.266030889591538426e+03
2.225093097263723396e-01 4.106304591162427641e+03 1.196905591139580338e+03
2.275289518807653566e-01 3.954290274912655605e+03 1.127259787704965447e+03
2.325285335280651011e-01 3.815910596942224402e+03 1.056110856065993630e+03
2.375276482184167648e-01 3.689571377491022758e+03 9.835064535922795130e+02
2.424990955345757149e-01 3.572674475776676445e+03 9.104589289997529704e+02
