# kvec, P0, P2
3.798113303144000016e-03 2.045345637689311479e+04 1.041230242118740716e+04
8.299341275451999761e-03 3.145457467156670828e+04 1.609163281625572199e+04
1.293222787701999929e-02 3.746381242378248135e+04 1.914282251187045404e+04
1.764839572337000007e-02 3.850502666493543074e+04 1.961057617247509552e+04
2.256548679261000112e-02 3.647336903773887025e+04 1.849023457845929079e+04
2.777643695507000035e-02 3.290624921219794487e+04 1.659195768154595135e+04
3.269805018024000282e-02 2.899618409351189985e+04 1.454089956146026270e+04
3.761648509991000200e-02 2.541773668213028213e+04 1.267722315295614499e+04
4.263843730756999850e-02 2.250382314997174399e+04 1.116375686814958681e+04
4.756514578967999812e-02 2.033391410416008875e+04 1.003287378361387709e+04
5.262096028947999687e-02 1.876660098405649842e+04 9.203907836405480339e+03
5.756031729613000220e-02 1.761125474268936523e+04 8.577821514615718115e+03
6.254738268581000460e-02 1.665271117300256083e+04 8.049885476020887836e+03
6.757793520051000313e-02 1.572677349423410851e+04 7.544644946602582422e+03
7.255917576515999445e-02 1.472788585298264843e+04 7.018731189303878637e+03
7.753384356318999970e-02 1.362885145259957062e+04 6.464009583422479409e+03
8.251793387396999524e-02 1.247595434680975814e+04 5.904476201224441866e+03
8.752751929943999865e-02 1.133890277392493226e+04 5.369943118790910376e+03
9.254701929467000487e-02 1.030145087456848887e+04 4.891873497986832263e+03
9.754963104887999503e-02 9.418648766285925376e+03 4.487324682472204586e+03
1.025319606421000035e-01 8.713512227556628204e+03 4.158179139819959346e+03
1.075115996070999946e-01 8.178867137608367557e+03 3.896051012593209180e+03
1.125102860117000031e-01 7.779824382134396728e+03 3.683758278034534669e+03
1.175500847827000012e-01 7.472257282878995284e+03 3.503900410699224267e+03
1.225369442402999970e-01 7.206300214539531225e+03 3.340126377182040414e+03
1.275260951232999873e-01 6.942719094259999110e+03 3.181722544619449764e+03
1.325302087983999955e-01 6.654883996914419185e+03 3.023859373077693363e+03
1.375062702212999921e-01 6.334417753482947774e+03 2.866432691229867032e+03
1.425134427792000003e-01 5.990525666658035334e+03 2.713475199995041748e+03
1.475259229022000129e-01 5.640014162848286105e+03 2.568892453870724239e+03
1.525299435375999935e-01 5.305181527861991526e+03 2.435910058333459801e+03
1.574945689917000013e-01 5.002939357537766227e+03 2.315567597232995013e+03
1.625189325234999982e-01 4.743666886892792718e+03 2.206723625525526586e+03
1.675461009593000039e-01 4.529535004887085961e+03 2.107327315798320797e+03
1.725292015797000034e-01 4.354853211908105550e+03 2.014680526989086957e+03
1.775301965632999912e-01 4.210392457571922023e+03 1.926773622684854217e+03
1.825147654020999877e-01 4.084212859636877056e+03 1.842423211044561185e+03
1.875360718248000047e-01 3.965538691433523582e+03 1.761439082166218213e+03
1.925323672161000088e-01 3.845370805669622769e+03 1.684546996931011563e+03
1.975198655322999985e-01 3.719039998167058002e+03 1.612531531049213754e+03
2.025153687061999885e-01 3.586277635939049560e+03 1.546086237950694795e+03
2.075088491485000131e-01 3.449813401565882032e+03 1.485131127185251671e+03
2.125178053352999863e-01 3.314904710749639435e+03 1.428797307784689792e+03
2.175004168614000088e-01 3.186162693896519158e+03 1.375873350676310110e+03
2.225093165708000031e-01 3.067180790546588469e+03 1.324902665133868595e+03
2.275289584071999993e-01 2.959805562923836078e+03 1.274711550131627746e+03
2.325285402255000133e-01 2.864121979923112121e+03 1.224477197599339888e+03
2.375276550388999985e-01 2.778888960393897833e+03 1.173923920065652055e+03
2.424991023866999995e-01 2.701687863698877663e+03 1.123321755686318966e+03
2.474998546692999957e-01 2.629914538075771816e+03 1.073318531737565536e+03
2.525200303301000093e-01 2.560954224665930724e+03 1.024871080906606949e+03
2.575182252286999929e-01 2.492977627697089702e+03 9.787353432045920272e+02
2.625255682552000147e-01 2.425007903114363671e+03 9.354048656649540590e+02
2.675305528586000015e-01 2.356873212607145888e+03 8.949713798455102278e+02
2.725404592285999850e-01 2.289150340567964122e+03 8.571253724833525212e+02
2.775333203268999793e-01 2.222686990917063667e+03 8.212737735918526596e+02
2.825123909948999978e-01 2.158510252551403028e+03 7.865860883376396941e+02
2.875104659714000088e-01 2.097379383483398215e+03 7.523316167708160265e+02
2.924971330109999990e-01 2.039733762422155905e+03 7.179290429949228383e+02
2.975058831642000134e-01 1.985586453497835237e+03 6.831260937701549665e+02
3.025121371194000042e-01 1.934543436431035843e+03 6.479973298592913125e+02
3.075010390758000089e-01 1.886080254820753453e+03 6.127635573422828656e+02
3.125134183305000035e-01 1.839585031071026378e+03 5.777628564263347926e+02
