# k [h/Mpc], P [Mpc/h]^3, N
# courtesy: H. Gil-Marin
1.570999999999999914e-03 4.890275317999999970e+03 6.000000000000000000e+00
2.220999999999999884e-03 1.466563989699999911e+04 1.200000000000000000e+01
2.720999999999999894e-03 2.268939277999999831e+04 8.000000000000000000e+00
3.141999999999999828e-03 1.149483085399999982e+04 6.000000000000000000e+00
3.511999999999999931e-03 2.200831869999999981e+04 2.400000000000000000e+01
3.847999999999999858e-03 2.887016843399999925e+04 2.400000000000000000e+01
4.442999999999999901e-03 3.856107309900000109e+04 1.200000000000000000e+01
4.826000000000000428e-03 2.699418334600000162e+04 5.400000000000000000e+01
5.268000000000000113e-03 2.966472122600000148e+04 3.200000000000000000e+01
5.806000000000000397e-03 4.255832127700000274e+04 7.200000000000000000e+01
6.454999999999999800e-03 2.965969997499999954e+04 5.400000000000000000e+01
6.956999999999999643e-03 4.238224172900000121e+04 1.320000000000000000e+02
7.655999999999999611e-03 5.501637049799999659e+04 7.800000000000000000e+01
8.220999999999999142e-03 6.279604209399999672e+04 1.760000000000000000e+02
9.011999999999999178e-03 8.186825136599999678e+04 2.040000000000000000e+02
9.870000000000000301e-03 9.299926293700000679e+04 2.940000000000000000e+02
1.076799999999999979e-02 1.076521318900000042e+05 3.140000000000000000e+02
1.164600000000000010e-02 9.715709770499999286e+04 4.320000000000000000e+02
1.271599999999999987e-02 9.007950687599999947e+04 5.820000000000000000e+02
1.386199999999999932e-02 7.888140619799999695e+04 7.220000000000000000e+02
1.507000000000000006e-02 7.297396102299999620e+04 9.300000000000000000e+02
1.642899999999999916e-02 6.959695510900000227e+04 1.280000000000000000e+03
1.796899999999999886e-02 6.457853016599999683e+04 1.674000000000000000e+03
1.960200000000000137e-02 5.958646514400000160e+04 2.048000000000000000e+03
2.137700000000000017e-02 5.782779670700000133e+04 2.810000000000000000e+03
2.332499999999999851e-02 5.663966033199999947e+04 3.534000000000000000e+03
2.545400000000000093e-02 5.560926708099999814e+04 4.682000000000000000e+03
2.776700000000000002e-02 5.301160625699999946e+04 5.948000000000000000e+03
3.029099999999999848e-02 5.559595127599999978e+04 7.904000000000000000e+03
3.303899999999999892e-02 5.201703353500000230e+04 1.001000000000000000e+04
3.604399999999999965e-02 4.326679010399999970e+04 1.330400000000000000e+04
3.934399999999999703e-02 3.891772921599999972e+04 1.714600000000000000e+04
4.294100000000000000e-02 3.613840138399999705e+04 2.246000000000000000e+04
4.681300000000000044e-02 3.374060227899999882e+04 2.821400000000000000e+04
5.104600000000000110e-02 3.365166932100000122e+04 3.770800000000000000e+04
5.570599999999999857e-02 3.112252823699999863e+04 4.855000000000000000e+04
6.074600000000000138e-02 2.832354400700000042e+04 6.253600000000000000e+04
6.625000000000000333e-02 2.741005137000000104e+04 8.174200000000000000e+04
7.227799999999999503e-02 2.433519616500000120e+04 1.062640000000000000e+05
7.883800000000000530e-02 2.157797014299999864e+04 1.371780000000000000e+05
8.599999999999999312e-02 1.825021029800000179e+04 1.791340000000000000e+05
9.381000000000000449e-02 1.685321723399999973e+04 2.311740000000000000e+05
1.023109999999999992e-01 1.486599233599999934e+04 3.002780000000000000e+05
1.116059999999999969e-01 1.311129221800000050e+04 3.909780000000000000e+05
1.217430000000000040e-01 1.189879477799999950e+04 5.060720000000000000e+05
1.327959999999999974e-01 1.060224898299999950e+04 6.578360000000000000e+05
1.448589999999999878e-01 9.384895247000000381e+03 8.534680000000000000e+05
1.580110000000000126e-01 8.169894097999999758e+03 1.107340000000000000e+06
1.723550000000000082e-01 6.795125439999999799e+03 1.436940000000000000e+06
1.880010000000000014e-01 6.139640806999999768e+03 1.864956000000000000e+06
2.050720000000000043e-01 5.495582029999999577e+03 2.421576000000000000e+06
2.236910000000000009e-01 4.797423410000000331e+03 3.141224000000000000e+06
2.439969999999999917e-01 4.154373110000000452e+03 4.077262000000000000e+06
2.661479999999999957e-01 3.647735560999999961e+03 5.291842000000000000e+06
2.903129999999999877e-01 3.077228899000000183e+03 6.868784000000000000e+06
3.166660000000000030e-01 2.698581004000000121e+03 8.910236000000000000e+06
3.454110000000000236e-01 2.259373085000000174e+03 1.156777000000000000e+07
3.767719999999999958e-01 1.893755748000000040e+03 1.501447200000000000e+07
1.570999999999999914e-03 -7.689163389000000279e+03 6.000000000000000000e+00
2.220999999999999884e-03 -3.249525042000000212e+03 1.200000000000000000e+01
2.720999999999999894e-03 2.644101047000000108e+03 8.000000000000000000e+00
3.141999999999999828e-03 -1.321814854799999921e+04 6.000000000000000000e+00
3.511999999999999931e-03 9.404493760000000293e+02 2.400000000000000000e+01
3.847999999999999858e-03 8.281894870000000083e+03 2.400000000000000000e+01
4.442999999999999901e-03 3.895139338500000304e+04 1.200000000000000000e+01
4.826000000000000428e-03 1.856980824800000119e+04 5.400000000000000000e+01
5.268000000000000113e-03 1.956834477899999911e+04 3.200000000000000000e+01
5.806000000000000397e-03 5.333284880800000246e+04 7.200000000000000000e+01
6.454999999999999800e-03 1.508718211800000063e+04 5.400000000000000000e+01
6.956999999999999643e-03 6.040522624599999835e+04 1.320000000000000000e+02
7.655999999999999611e-03 3.142436519599999883e+04 7.800000000000000000e+01
8.220999999999999142e-03 2.592363496099999975e+04 1.760000000000000000e+02
9.011999999999999178e-03 3.602657016100000328e+04 2.040000000000000000e+02
9.870000000000000301e-03 1.490092138300000079e+04 2.940000000000000000e+02
1.076799999999999979e-02 2.247040666399999827e+04 3.140000000000000000e+02
1.164600000000000010e-02 3.487157633799999894e+04 4.320000000000000000e+02
1.271599999999999987e-02 4.529365248399999837e+04 5.820000000000000000e+02
1.386199999999999932e-02 6.010019095799999923e+04 7.220000000000000000e+02
1.507000000000000006e-02 5.614776958600000216e+04 9.300000000000000000e+02
1.642899999999999916e-02 4.024603885900000023e+04 1.280000000000000000e+03
1.796899999999999886e-02 3.041244225899999947e+04 1.674000000000000000e+03
1.960200000000000137e-02 2.200612533899999835e+04 2.048000000000000000e+03
2.137700000000000017e-02 1.365853341299999920e+04 2.810000000000000000e+03
2.332499999999999851e-02 9.704947147000000768e+03 3.534000000000000000e+03
2.545400000000000093e-02 1.252725879200000054e+04 4.682000000000000000e+03
2.776700000000000002e-02 1.264706361099999958e+04 5.948000000000000000e+03
3.029099999999999848e-02 1.439845531699999992e+04 7.904000000000000000e+03
3.303899999999999892e-02 1.896512205499999982e+04 1.001000000000000000e+04
3.604399999999999965e-02 2.423651568599999882e+04 1.330400000000000000e+04
